-1 |time hours_from_midnight:12 |meta link hashtags:1 |tokens thank #imwithy
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens court suprem justic make ginsburg mind us dumb resign statement embarrass shot polit
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens indiana #trump2016 thank
-1 |time hours_from_midnight:2 |meta link hashtags:2 |tokens iowa thank soon #imwithy see #trump2016
-1 |time hours_from_midnight:3 |meta hashtags:0 |tokens interview @ tonight enjoy 8pm
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens peopl free american pass agre #crookedhillari
-1 |time hours_from_midnight:7 |meta hashtags:0 |tokens voter interest deal peopl global stop trade berni bad want first open arm special welcom
-1 |time hours_from_midnight:7 |meta hashtags:0 |tokens endors hillari clinton sander wall support war crook berni street tpp abandon pro
-1 |time hours_from_midnight:7 |meta hashtags:0 |tokens endors hillari clinton like berni wall goldman sach crook street occupi sander
-1 |time hours_from_midnight:8 |meta link hashtags:1 |tokens qualifi #crookedhillari
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens sell sander support happi berni somewhat surpris true
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens sander hillari clinton lost crook sold berni fan angri total endors today leverag
-1 |time hours_from_midnight:12 |meta hashtags:1 |tokens choic america elect violenc make safe chao #imwithy crime everyon safeti law order
-1 |time hours_from_midnight:12 |meta hashtags:0 |tokens protect safeti need deliv job citi behind inner year go mani left
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens control good look get chicago crime citi wors rapidli inner go
-1 |time hours_from_midnight:2 |meta link hashtags:2 |tokens #makeamericagreatagain #imwithy
-1 |time hours_from_midnight:0 |meta link hashtags:0 |tokens campaign e trump district robert judg deleg rule argu favor state payn today senior unit
-1 |time hours_from_midnight:2 |meta link single_quote hashtags:0 |tokens veteran speech reform
-1 |time hours_from_midnight:3 |meta link hashtags:0 |tokens great poll florida thank
-1 |time hours_from_midnight:5 |meta hashtags:0 |tokens counti victim berrien courthous michigan st thought joseph famili prayer along everyon
-1 |time hours_from_midnight:11 |meta link hashtags:1 |tokens join tomorrow ticket night indiana 730pm #trump2016 westfield
1 |time hours_from_midnight:6 |meta hashtags:0 |tokens @ hour insid king peopl watch underachiev dead one heard lie happili john network polit
1 |time hours_from_midnight:6 |meta hashtags:0 |tokens sound foolishthey media make dishonest public twist turn bad stupid statement think
1 |time hours_from_midnight:6 |meta hashtags:0 |tokens divid peopl make nation live believ presid world think obama
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens hillari clinton look divid peopl weak like crook leadership countri happen nation obama
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens new poll #trump2016 thank
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens @ champion proud way go true
-1 |time hours_from_midnight:1 |meta link hashtags:0 |tokens make america safe
-1 |time hours_from_midnight:3 |meta single_quote hashtags:0 |tokens lie hillari clinton @ question tragedi nation email isnt softbal answer sad day
-1 |time hours_from_midnight:11 |meta link single_quote hashtags:0 |tokens shoot style 12 horrif execut offic dalla night last enforc law
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens horror prayer watch devast place take famili condol thoroughli countri
1 |time hours_from_midnight:1 |meta single_quote hashtags:0 |tokens hillari offici lyin crook call today
-1 |time hours_from_midnight:4 |meta link hashtags:2 |tokens #americafirst @ #trump2016 speaker thank
-1 |time hours_from_midnight:4 |meta link hashtags:1 |tokens #makeamericagreatagain
-1 |time hours_from_midnight:4 |meta link hashtags:1 |tokens collin rep #trump2016 thank
1 |time hours_from_midnight:6 |meta hashtags:0 |tokens great love hous peopl dc leav interest countri meet republican senat day
-1 |time hours_from_midnight:11 |meta link hashtags:2 |tokens great cincinnati thank #americafirst washington dc night ohio #trump2016 last
-1 |time hours_from_midnight:1 |meta link single_quote hashtags:1 |tokens star media #frozen dishonest david also book outrag disney
-1 |time hours_from_midnight:3 |meta link hashtags:0 |tokens pleas hillari contribut campaign beat twitter crook whatev follow must
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens ovat againh eye could nc watch chuck littl speech stand todd touch polit sleepi man
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens even great bankrupt ac democrat citi atlant other council ask follow happen caesar
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens hillari made clinton center convent airport move democrat wrong citi pol ask destroy atlant
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens ago great made 7 big money time pol bankruptci citi atlant know lot year mistak mani left
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens lie hillari clinton peopl sooooo watch crook come time countri fbi guilti
-1 |time hours_from_midnight:12 |meta link hashtags:0 |tokens hillari clinton help may system escap rig crimin charg
1 |time hours_from_midnight:11 |meta double_quote hashtags:0 |tokens information" hillari clinton fit handl sensit classifi "were crook careless team extrem highli
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens serv hillari clinton oppon tempera weak us judgement crook bad unfit presid strong
1 |time hours_from_midnight:4 |meta single_quote double_quote hashtags:0 |tokens novemb hillari voter forget get away she system crook 8 allow "murder" rig come think dont
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens parti announc money support figur rais morn lot big gasp republican win
-1 |time hours_from_midnight:2 |meta hashtags:0 |tokens interview @ tonight 11pm enjoy
-1 |time hours_from_midnight:0 |meta hashtags:0 |tokens enjoy @ 10pm son tonight interview
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens @ great iowa see peopl yesterday us job done time fantast spend
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens use total fortun campaign crook forc pay hillari air trail presid disgrac one taxpay obama
1 |time hours_from_midnight:2 |meta double_quote hashtags:0 |tokens enjoy @ 700 meet pm trumps" hope "special
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens use campaign crook forc pay hillari air fli trail allow presid one tomorrow obama
1 |time hours_from_midnight:9 |meta single_quote hashtags:0 |tokens fool wont hillari terrorist get even attack wors call islam radic polit correct obama
1 |time hours_from_midnight:9 |meta double_quote hashtags:0 |tokens hillari 33000 clinton mail system hell" crook "guilti corrupt rig total miss e
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens vp peopl ask interest pick
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens @ great iowa look job done jersey new forward meet senat today
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens mike great impress spent governor yesterday penc famili time indiana peopl
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens tri absolut depict star sheriff rather media tweet dishonest david plain best
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens fool hillari clinton would bill usag crook believ arrang meet know
1 |time hours_from_midnight:7 |meta hashtags:0 |tokens @ good entir show peopl get watch chuck bias todd news meth total
