-1 |time weekday:2 hour:12 hours_from_midnight:12 |meta link hashtags:1 |tokens #imwithyou you thank
1 |time weekday:2 hour:4 hours_from_midnight:4 |meta hashtags:0 |tokens supreme shot is mind all embarrassed dumb statements court her justice political has very ginsburg resign by me about of us making the
-1 |time weekday:2 hour:3 hours_from_midnight:3 |meta link hashtags:1 |tokens indiana you #trump2016 thank
-1 |time weekday:1 hour:22 hours_from_midnight:2 |meta link hashtags:2 |tokens iowa thank #imwithyou soon see you #trump2016
-1 |time weekday:1 hour:21 hours_from_midnight:3 |meta hashtags:0 |tokens enjoy @ tonight 8pm be i interviewed will at on by
-1 |time weekday:1 hour:21 hours_from_midnight:3 |meta link hashtags:1 |tokens for no people #crookedhillary free american pass the agree
-1 |time weekday:1 hour:17 hours_from_midnight:7 |meta hashtags:0 |tokens all voters global trade want open special people arms to you interests we welcome who stop with deals bad the bernie first
-1 |time weekday:1 hour:17 hours_from_midnight:7 |meta hashtags:0 |tokens endorsing sanders prowall his clinton abandoned protpp crooked bernie hillary street prowar has by supporters
-1 |time weekday:1 hour:17 hours_from_midnight:7 |meta hashtags:0 |tokens endorsing sanders clinton like crooked goldman is sachs occupy hillary street wall bernie
-1 |time weekday:1 hour:16 hours_from_midnight:8 |meta link hashtags:1 |tokens not is qualified #crookedhillary
1 |time weekday:1 hour:13 hours_from_midnight:11 |meta hashtags:0 |tokens and they is am his are out to was surprised happy sanders himself supporters that somewhat not true he i selling bernie
1 |time weekday:1 hour:13 hours_from_midnight:11 |meta hashtags:0 |tokens clinton out leverage her crooked angry to fans endorse has today sanders his sold who most hillary totally he lost of will bernie
-1 |time weekday:1 hour:12 hours_from_midnight:12 |meta hashtags:1 |tokens everyone is election again law for make chaos crime safety between safe choice america a this violence order will i #imwithyou or
-1 |time weekday:1 hour:12 hours_from_midnight:12 |meta hashtags:0 |tokens and am years have in need our for been to behind going safety inner too jobs deliver protection cities those i many left
1 |time weekday:1 hour:11 hours_from_midnight:11 |meta hashtags:0 |tokens control and what cities rapidly worse getting of is chicago crime look good going inner in not our on out
-1 |time weekday:1 hour:2 hours_from_midnight:2 |meta link hashtags:2 |tokens #imwithyou #makeamericagreatagain
-1 |time weekday:1 hour:0 hours_from_midnight:0 |meta link hashtags:0 |tokens payne campaign united e trump district of robert who had delegates states favor in judge argued senior today ruled
-1 |time weekday:0 hour:22 hours_from_midnight:2 |meta link single_quote hashtags:0 |tokens on reform speech veterans
-1 |time weekday:0 hour:21 hours_from_midnight:3 |meta link hashtags:0 |tokens great poll florida thank you
-1 |time weekday:0 hour:19 hours_from_midnight:5 |meta hashtags:0 |tokens and everyone victims courthouse berrien prayers michigan st county their joseph at in families the with along thoughts
-1 |time weekday:0 hour:11 hours_from_midnight:11 |meta link hashtags:1 |tokens me tickets join 730pm night at in indiana westfield #trump2016 tomorrow
1 |time weekday:6 hour:18 hours_from_midnight:6 |meta hashtags:0 |tokens people dead one heard are politics network that few john was @ watching happily underachieving on king hour lies i of inside the
1 |time weekday:6 hour:18 hours_from_midnight:6 |meta hashtags:0 |tokens and is it twist if foolishthey media make to statement public sound they a i dishonest or turn bad stupid so the think
1 |time weekday:6 hour:18 hours_from_midnight:6 |meta hashtags:0 |tokens a living think world people of is make nation as believe in not president the he thinks divided obama
1 |time weekday:6 hour:12 hours_from_midnight:12 |meta hashtags:0 |tokens and clinton people is are our happening what crooked divided to under obama we weak nation hillary leadership like a look country of the
-1 |time weekday:5 hour:21 hours_from_midnight:3 |meta link hashtags:1 |tokens new you poll #trump2016 thank
1 |time weekday:5 hour:15 hours_from_midnight:9 |meta hashtags:0 |tokens a @ champion of proud to are way go you true
-1 |time weekday:4 hour:23 hours_from_midnight:1 |meta link hashtags:0 |tokens again make america safe
-1 |time weekday:4 hour:21 hours_from_midnight:3 |meta single_quote hashtags:0 |tokens a on about clinton her softball that of national answering it lies sad email isnt questions tragedy @ hillary day is
-1 |time weekday:4 hour:13 hours_from_midnight:11 |meta link single_quote hashtags:0 |tokens enforcement shootings last horrific dallas of officers nights executionstyle 12 law
1 |time weekday:4 hour:11 hours_from_midnight:11 |meta hashtags:0 |tokens and all prayers horrors are in our thoroughly to take place we families watching devastated who by condolences of so country the
1 |time weekday:4 hour:1 hours_from_midnight:1 |meta single_quote hashtags:0 |tokens be crooked after lyin hillary can officially called today
-1 |time weekday:3 hour:20 hours_from_midnight:4 |meta link hashtags:2 |tokens @ thank #americafirst speaker you #trump2016
